200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
200,6.23,45,200,6.23,45
200,8.1,40,200,8.1,40
